Timestamp,Consent,"If you do not get a job in your target field within 6 months after graduation, what will you most likely do next?",Your current status,Field of study,University type,Residence,Your primary target career after graduation,The strongest influence on your career choice,Your biggest constraint while choosing a career,University support for career preparation,Internship experience,Main skill-building source,Your current job readiness level,Biggest skill gap you feel,The most common reason companies reject fresh graduates (your view),Your biggest problem in getting a job,Stress level during job searching,Current employment status,"Recruitment processes are transparent (clear criteria, clear steps)",Nepotism or favoritism affects hiring decisions,"In your opinion, hiring is mostly fair and merit-based in your field"
1/29/2026 18:34:03,"Yes, I agree",Take any job temporarily (even if it is not in my target field),Graduated (1–2 years),Computer Science / CSE,Private,Dhaka (inside city),Teaching / Academia,Personal interest / passion,Time limitation,1.0,Completed 2 internships,Self-learning (YouTube/Online),1,Problem solving / logic gap,Lack of experience,Low salary offers,5,Preparing for higher study,1,5,1
1/29/2026 21:00:37,"Yes, I agree",Keep searching for a job in the same target field,Final semester student,Computer Science / CSE,Private,Dhaka (inside city),QA / SQA Engineer,Salary potential,Lack of guidance,3.0,No internship yet,Self-learning (YouTube/Online),2,Problem solving / logic gap,Weak communication,Experience requirement,2,Preparing for higher study,3,5,4
1/29/2026 21:06:45,"Yes, I agree",Start a business / entrepreneurship,Current student (2nd year),Software Engineering,Private,Dhaka (outside city),Software Engineer / Developer,Family preference / pressure,Family restrictions,2.0,No internship yet,Self-learning (YouTube/Online),1,Communication skill gap,Weak communication,Lack of networking,3,Unemployed and not searching,3,3,3
1/29/2026 22:49:20,"Yes, I agree",Go for higher studies (Masters/abroad),Graduated (1–2 years),Computer Science / CSE,Private,Dhaka (inside city),Software Engineer / Developer,Salary potential,Lack of skills,3.0,Completed 2 internships,Self-learning (YouTube/Online),3,Technical skill gap,Lack of experience,Too much competition,5,Employed part-time,4,5,4
1/29/2026 22:51:30,"Yes, I agree",Take any job temporarily (even if it is not in my target field),Graduated (7–12 months),Software Engineering,Public,Dhaka (inside city),QA / SQA Engineer,Job availability in market,No internship/experience,2.0,No internship yet,Self-learning (YouTube/Online),2,CV/portfolio gap,Limited seats,Too much competition,5,Unemployed and actively searching,5,3,3
1/29/2026 23:08:40,"Yes, I agree",Keep searching for a job in the same target field,Graduated (0–6 months),BBA / Business,Private,Other divisional city,Business / Entrepreneurship,Social status / prestige,Lack of skills,2.0,Completed 1 internship,Self-learning (YouTube/Online),2,Interview skill gap,Lack of experience,Too much competition,5,Unemployed and actively searching,3,3,3
1/30/2026 6:15:50,"Yes, I agree",Go for higher studies (Masters/abroad),Final semester student,EEE / Electrical,Public,Other divisional city,Not decided yet,Salary potential,Limited opportunities in region,2.0,No internship yet,University courses only,2,CV/portfolio gap,Lack of practical skills,Too much competition,4,Unemployed and actively searching,3,3,3
1/30/2026 14:17:36,"Yes, I agree",Go for higher studies (Masters/abroad),Current student (4th year),IT / Information Systems,Public,Dhaka (inside city),Software Engineer / Developer,Job security,No internship/experience,2.0,Completed 1 internship,Self-learning (YouTube/Online),2,CV/portfolio gap,Lack of experience,Too much competition,5,Intern,3,3,3
1/30/2026 14:37:12,"Yes, I agree",Start a business / entrepreneurship,Current student (4th year),Science (Math/Physics/Chemistry),Public,District town,Higher study (Masters/PhD),Personal interest / passion,Lack of skills,2.0,Completed 1 internship,Self-learning (YouTube/Online),4,Interview skill gap,Lack of experience,Too much competition,4,Intern,4,4,4
1/31/2026 17:46:30,"Yes, I agree",Keep searching for a job in the same target field,Current student (4th year),Social Science,National University affiliated,Dhaka (inside city),Government job (BCS or similar),Job security,Lack of skills,1.0,No internship yet,Paid courses (Udemy/Coursera etc.),3,Networking gap,Prefer referrals,Lack of networking,5,Intern,2,2,2
1/31/2026 17:52:06,"Yes, I agree",Keep searching for a job in the same target field,Current student (4th year),Science (Math/Physics/Chemistry),Public,District town,Not decided yet,Salary potential,Lack of guidance,3.0,Completed 1 internship,University courses only,2,Interview skill gap,Lack of experience,Lack of networking,3,Unemployed and not searching,1,5,1
1/31/2026 17:56:33,"Yes, I agree",Keep searching for a job in the same target field,Final semester student,IT / Information Systems,Private,Dhaka (inside city),QA / SQA Engineer,Salary potential,Limited opportunities in region,2.0,Completed 1 internship,Self-learning (YouTube/Online),3,CV/portfolio gap,Lack of experience,Experience requirement,2,Unemployed and not searching,4,4,3
1/31/2026 18:02:26,"Yes, I agree",Go for higher studies (Masters/abroad),Graduated (0–6 months),Computer Science / CSE,Private,District town,Software Engineer / Developer,Family preference / pressure,Lack of guidance,2.0,No internship yet,Self-learning (YouTube/Online),2,Interview skill gap,Lack of experience,Experience requirement,4,Preparing for higher study,3,4,3
1/31/2026 18:06:42,"Yes, I agree",Take any job temporarily (even if it is not in my target field),Final semester student,Software Engineering,Private,District town,Software Engineer / Developer,Job security,Lack of guidance,1.0,No internship yet,University courses only,1,Technical skill gap,Lack of experience,Too much competition,4,Unemployed and not searching,3,5,1
1/31/2026 18:08:45,"Yes, I agree",Keep searching for a job in the same target field,Current student (3rd year),BBA / Business,Public,District town,Not decided yet,Family preference / pressure,No internship/experience,2.0,No internship yet,Self-learning (YouTube/Online),2,Interview skill gap,Lack of experience,Experience requirement,2,Unemployed and not searching,4,4,3
1/31/2026 18:22:47,"Yes, I agree",Keep searching for a job in the same target field,Graduated (7–12 months),Computer Science / CSE,Public,Dhaka (inside city),QA / SQA Engineer,Family preference / pressure,Financial pressure to earn fast,3.0,Completed 2 internships,University courses only,3,CV/portfolio gap,Weak communication,Experience requirement,3,Employed part-time,4,4,1
1/31/2026 18:27:00,"Yes, I agree",Go for higher studies (Masters/abroad),Graduated (0–6 months),Science (Math/Physics/Chemistry),Public,Dhaka (inside city),Higher study (Masters/PhD),Family preference / pressure,Limited opportunities in region,3.0,Completed 1 internship,Self-learning (YouTube/Online),3,CV/portfolio gap,Weak communication,Experience requirement,3,Employed part-time,3,4,4
1/31/2026 18:35:42,"Yes, I agree",Keep searching for a job in the same target field,Graduated (1–2 years),Software Engineering,Private,Dhaka (inside city),Software Engineer / Developer,Salary potential,Financial pressure to earn fast,2.0,Completed 2 internships,Self-learning (YouTube/Online),4,Communication skill gap,Lack of experience,Lack of networking,3,Employed part-time,1,5,1
1/31/2026 18:55:26,"Yes, I agree",Keep searching for a job in the same target field,Current student (4th year),Software Engineering,Private,District town,Software Engineer / Developer,Salary potential,Lack of skills,3.0,No internship yet,Self-learning (YouTube/Online),2,CV/portfolio gap,Lack of experience,Experience requirement,4,Unemployed and not searching,3,4,4
1/31/2026 19:34:47,"Yes, I agree",Keep searching for a job in the same target field,Current student (2nd year),EEE / Electrical,Public,Dhaka (inside city),Teaching / Academia,Job availability in market,No internship/experience,2.0,No internship yet,Self-learning (YouTube/Online),1,Technical skill gap,Lack of practical skills,Experience requirement,4,Unemployed and not searching,3,4,3
1/31/2026 19:41:29,"Yes, I agree",Keep searching for a job in the same target field,Graduated (1–2 years),Software Engineering,Private,Dhaka (inside city),Software Engineer / Developer,Salary potential,Lack of guidance,1.0,Completed 1 internship,University courses only,2,CV/portfolio gap,Lack of experience,Experience requirement,4,Unemployed and actively searching,4,4,3
1/31/2026 19:42:52,"Yes, I agree",Keep searching for a job in the same target field,Current student (4th year),Software Engineering,Public,Other divisional city,Software Engineer / Developer,Family preference / pressure,No internship/experience,3.0,No internship yet,University courses only,1,Technical skill gap,Lack of practical skills,Experience requirement,5,Unemployed and actively searching,3,4,3
